Time,Game ID,Home Team,Away Team,1,X,2,Over,Under
18:00,44163,FCSR Haguenau,Epinal,2.30,3.25,2.80,1.92,1.76
18:00,30550,SC Toulon,AS Saint Priest,2.40,3.10,2.80,2.27,1.54
18:00,31002,US Creteil-Lusitanos,Biesheim ASC,2.55,2.90,2.75,2.36,1.50
17:30,41322,AC Renate,Calcio Lecco 1912,2.45,2.95,2.95,2.50,1.50
21:30,33220,CD Real Santander,Real Soacha Cundinamarca,2.15,3.10,3.40,2.25,1.59
21:30,33244,Tigres FC,CD Atletico Huila,3.40,2.95,2.25,1.52,2.45
00:00,33288,Jaguares de Cordoba,Orsomarso SC,1.70,3.40,5.00,2.20,1.62
18:00,36497,FC Zurich II,SR Delemont,2.40,3.50,2.65,1.73,2.05
19:00,37042,FC Luzern,FC Basel II,2.85,3.70,2.20,2.05,1.72
19:00,35576,Asociacion Deportiva Tarma,Atletico Grau,1.59,3.80,5.70,2.05,1.75
21:30,31582,Alianza Atletico,Alianza Lima,4.60,3.30,1.81,1.91,1.86
21:00,33113,CA Villa San Carlos,CSCD Laferrere,2.40,2.80,3.25,1.65,2.15
21:00,33087,Deportivo Merlo,Comunicaciones,2.10,2.90,3.80,1.60,2.25
21:00,33165,Excursionistas,Argentino de Merlo,1.94,3.25,3.90,2.25,1.60
21:00,33125,Real Pilar FC,Club Atletico Fenix,1.88,3.10,4.40,1.58,2.30
21:00,29902,Sacachispas FC,Deportivo Armenio,3.50,2.85,2.25,1.66,2.15
21:00,34556,Danubio FC,Cerro Largo FC,2.30,3.00,3.30,1.93,1.84
23:30,32411,CA Penarol Montevideo,CA Boston River,1.34,4.75,8.90,1.94,1.83
17:30,17494,Arenas Club Getxo,Barbastro UD,1.62,3.10,5.25,1.54,2.30
17:30,33240,Utebo FC,Alfaro CD,1.72,3.10,4.30,2.35,1.51
18:00,31606,UP Langreo,RC Deportivo Fabril,2.30,2.85,2.90,2.30,1.52
19:00,32061,Bergantinos CF,Salamanca CF Uds,2.60,2.75,2.60,1.47,2.45
18:00,44204,Fus Fath Union Sportive Rabat,AS Far Rabat,2.45,2.85,3.25,1.84,1.94
20:00,44205,Raja Casablanca Athletic,Jeunesse Sportive Soualem,1.48,4.10,6.50,2.05,1.77
18:30,24697,KS Gornik Zabrze,RKS Radomiak Radom,1.99,3.50,3.70,1.87,1.90
20:15,35265,Legia Warszawa,Puszcza Niepolomice,1.32,5.30,8.60,2.00,1.79
20:30,24115,Longford Town FC,Bray Wanderers AFC,3.40,3.50,2.00,1.83,1.91
20:00,24520,SD Aucas,CD Tecnico Universitario,2.15,3.20,3.25,2.10,1.69
22:30,25413,Libertad Loja,CSD Independiente del Valle,5.70,3.90,1.55,1.96,1.79
20:45,36390,Sligo Rovers FC,Waterford FC,2.40,3.30,2.90,1.97,1.81
18:00,22876,Real Sociedad San Sebastian B,Cultural Leonesa,2.25,3.00,3.00,2.30,1.52
20:00,23086,Barakaldo CF,FC Andorra,2.20,3.10,3.10,2.25,1.54
20:00,26633,CF Algeciras,RC Recreativo de Huelva,2.55,2.85,2.80,2.40,1.49
21:00,39670,CA Defensores Unidos,CA Chaco For Ever,2.90,2.45,3.10,1.92,1.82
21:00,34428,CA Talleres de Remedios,Gimnasia Y Esgrima Mendoza,3.33,2.80,2.35,1.72,2.05
23:00,29483,Deportivo Madryn,Racing de Cordoba,1.78,2.95,5.60,1.74,2.00
23:05,39628,CA Estudiantes,Almirante Brown,1.99,2.80,4.60,1.70,2.10
17:30,35146,Karlbergs BK,IFK Norrkoping FK,7.80,5.25,1.31,2.30,1.57
19:30,34729,Miedz Legnica,ZKS Stal Rzeszow,1.79,3.70,4.00,1.75,2.00
18:00,35073,UD Santarem,Academica de Coimbra,2.80,3.10,2.40,2.05,1.65
19:00,24778,Caldas SC,SC Covilha,2.00,3.20,3.50,2.15,1.60
20:30,30389,1 Dezembro,CF Os Belenenses,2.65,2.95,2.60,2.40,1.49
18:30,37907,Portadown FC,Larne FC,3.10,3.20,2.35,1.75,2.05
19:00,41924,SD Sarriana,UD Somozas,1.67,3.50,4.70,2.00,1.69
17:30,42150,CD Santa Ursula,CD Buzanada,2.15,3.00,3.25,2.40,1.48
17:30,42153,Llanos Aridane,CF Union Viera,1.87,3.20,4.00,2.30,1.54
18:30,44947,Rotxapea CD,Atletico Artajones,2.50,3.20,2.60,1.82,1.85
19:30,44091,UD Mutilvera,CD Cantolagua,1.15,6.20,15.50,1.69,2.00
19:00,21059,CD Derio,Touring Ke,2.10,3.10,3.25,2.05,1.67
18:00,34148,CF Benidorm,Atzeneta UE,3.00,2.85,2.40,1.51,2.35
18:15,43876,CD El Alamo,CDF Tres Cantos,2.85,3.10,2.40,2.15,1.61
18:00,43875,CP Mijas-Las Lagunas,CD El Ejido 2012,1.49,3.80,6.00,1.95,1.73
18:00,27239,Anorthosis Famagusta,Aris Limassol FC,5.00,3.90,1.62,1.85,1.92
22:15,36657,Nacional Asuncion,Club Guarani Asuncion,2.85,2.95,2.55,2.45,1.51
00:30,20700,Cerro Porteno,CD Recoleta,1.35,4.60,8.00,1.89,1.85
18:00,40538,UDG Tenerife,SD Eibar,1.58,3.60,5.25,2.10,1.64
